variable name,title,element type,version,definition,short description,datatype,maximum character quantity,input restriction,minimum value,maximum value,permissible values,permissible value descriptions,permissible value output codes,unit of measure,guidelines/instructions,notes,preferred question text,keywords,references,population.all,domain.general (for all diseases),domain.traumatic brain injury,domain.Parkinson's disease,domain.Friedreich's ataxia,domain.stroke,domain.amyotrophic lateral sclerosis,domain.Huntington's disease,domain.multiple sclerosis,domain.neuromuscular diseases,domain.myasthenia gravis,domain.spinal muscular atrophy,domain.Duchenne muscular dystrophy/Becker muscular dystrophy,domain.congenital muscular dystrophy,domain.spinal cord injury,domain.headache,domain.epilepsy,classification.general (for all diseases),classification.acute hospitalized,classification.concussion/mild TBI,classification.epidemiology,classification.moderate/severe TBI: rehabilitation,classification.Parkinson's disease,classification.Friedreich's ataxia,classification.stroke,classification.amyotrophic lateral sclerosis,classification.Huntington's disease,classification.multiple sclerosis,classification.neuromuscular diseases,classification.myasthenia gravis,classification.spinal muscular atrophy,classification.Duchenne muscular dystrophy/Becker muscular dystrophy,classification.congenital muscular dystrophy,classification.spinal cord injury,classification.headache,classification.epilepsy,historical notes,Label(s),see also,submitting organization name,submitting contact name,submitting contact information,effective date,until date,steward organization name,steward contact name,steward contact information,creation date,last change date,administrative status
Abd_AIS,Abdominal AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{5,6,2,1,4,3}","{5,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrnym,Acronym,CDE,1,"An acronym or abbreviation used to identify the clinical study, if any","An acronym or abbreviation used to identifythe clinical study, if any",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdmTemp,AdmTemp,UDE,1,Measurementof the participant's/subjects body temperature,First recorded temperature in the hospital within 30 minutes or less of hospital arrival (expressed in degrees Celsius),NUMERIC,150,0,0,150,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgeYears,Age in years,CDE,1,"Value for participant's subject age, calculated as elapsed time since the birth of the participant/subject in years. The subjects age is typically recorded to the nearest full year completed, e.g. 11 years and 6 months should be recorded as 11 years",Value for participant's subject age recorded in years.,NUMERIC,150,0,0,150,{NULL},{NULL},{NULL},,,,Subject's age (recorded in years):,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIS_Abd,Abdominal AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{5,0,6,2,1,4,3}","{5,0,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIS_Face,Face AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{Extremity,Abdomen,External,Face,Chest,Head/Neck}","{5=Extremity,4=Abdomen,6=External,2=Face,3=Chest,1=Head/Neck}","{5,4,6,2,3,1}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIS_Head,Head AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{""AIS Military"",""AIS Revision 2005 Update 2008"",""AIS Revision 1990 Update 1998"",""AIS revison 1990"",""AIS Revision 2005"",""AIS Revision 2015""}","{""AIS Military"",""AIS Revision 2005 Update 2008"",""AIS Revision 1990 Update 1998"",""AIS Revision 1990"",""AIS Revision 2005"",""AIS Revision 2015""}","{1,3,5,6,4,2}",,,,Version of Abbreviated injury scale (AIS) dictionary,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIS_LE,Lower Extremity AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{5,6,2,1,4,3}","{5,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIS_Neck,Neck AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{5,0,6,2,1,4,3}","{5,0,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIS_Spine,Spine AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{5,0,6,2,1,4,3}","{5,0,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
