variable name,title,query_engine,variable name_query_result,query_text_result,node_id_result,variable name_result,title_result,element type_result,definition_result,short description_result,datatype_result,input restriction_result,minimum value_result,maximum value_result,data element concept identifiers_result,data element concept names_result,permissible values_result,permissible value descriptions_result,permissible value concept identifiers_result,permissible value concept names_result,unit of measure_result,preferred question text_result,creation date_result,last change date_result,score_result
ft2fly2,Fit to Fly Assessment #2,title,ft2fly2,Fit to Fly Assessment #2,7853c5f3-0940-4ffc-a452-18a591c0e279,FADTendrnessTakeSecondPlaceInd,Family Assessment Device (FAD) - Tenderness take second place indicator,Common Data Element,"Indicator reflecting the participant/subject's agreement with the statement that his or her family takes tenderness second place to other things in the family, as part of the Family Assessment Device (FAD)","Indicator reflecting the participant/subject's agreement with the statement that his or her family takes tenderness second place to other things in the family, as part of the Family Assessment Device (FAD)",Alphanumeric,Single Pre-Defined Value Selected,,,,,A|D|SA|SD,agree|disagree|strongly agree|strongly disagree,,,,Tenderness takes second place to other things in our family,4/1/2014,2/23/2016,0.053861734
ft2fly2,Fit to Fly Assessment #2,title,ft2fly2,Fit to Fly Assessment #2,2fccfeb3-ad4f-4078-af18-f653d2c3fa51,EVARAF2Score,Evaluation of Risks - Bubble Sheet (EVAR-B) - American Factor 2,Unique Data Element,"Score of American Factor 2, self-confidence score.","Score of American Factor 2, self-confidence score.",Numeric Values,Free-Form Entry,0.556,13.889,,,,,,,,Self-Confidence,3/9/2016,2/18/2020,0.053342666
ft2fly2,Fit to Fly Assessment #2,title,ft2fly2,Fit to Fly Assessment #2,e15b8039-cd2f-401a-98c5-9b4445bab95f,FADFeelAcceptIndividualInd,Family Assessment Device (FAD) - Feel accept individual indicator,Common Data Element,"Indicator reflecting the participant/subject's agreement with the statement that his or her family members feel accepted for who they are, as part of the Family Assessment Device (FAD)","Indicator reflecting the participant/subject's agreement with the statement that his or her family members feel accepted for who they are, as part of the Family Assessment Device (FAD)",Alphanumeric,Single Pre-Defined Value Selected,,,,,A|D|SA|SD,agree|disagree|strongly agree|strongly disagree,,,,We feel accepted for what we are,4/1/2014,2/23/2016,0.0531928
ft2fly2,Fit to Fly Assessment #2,title,ft2fly2,Fit to Fly Assessment #2,fa352f81-e548-41b4-9064-f65394316713,EVARFF2Score,Evaluation of Risks - Bubble Sheet (EVAR-B) - Original French Factor 2,Unique Data Element,"Original French factor 2, danger seeking score.","Original French factor 2, danger seeking score.",Numeric Values,Free-Form Entry,1,25,,,,,,,,Danger Seeking,3/9/2016,2/18/2020,0.04919357
ft2fly2,Fit to Fly Assessment #2,title,ft2fly2,Fit to Fly Assessment #2,78c01648-4482-4197-8a9b-15e9e590d43a,ImgDim2UoMVal,Imaging 2nd dimension unit of measure value,Common Data Element,Units of measure for image extent in second dimension (Y),Units of measure for image extent in second dimension (Y),Alphanumeric,Single Pre-Defined Value Selected,,,C0079595|C1519795|C0205436/C0439534,Imaging Techniques|Unit of Measure|second (number)/Dimensions,"Angstroms|Centimeters|Hertz|Hours|Inches|Kilometers|Meters|Micrometers|Microseconds|Miles|Millimeters|Milliseconds|Minutes|Nanometers|Nanoseconds|Other, specify|Seconds","Angstroms|Centimeters|Hertz|Hours|Inches|Kilometers|Meters|Micrometers|Microseconds|Miles|Millimeters|Milliseconds|Minutes|Nanometers|Nanoseconds|Other, specify|Seconds",,,,,4/1/2014,1/16/2023,0.04261716
ft2fly2,Fit to Fly Assessment #2,title,ft2fly2,Fit to Fly Assessment #2,bc96fb95-1e50-4d48-8f34-16569358b6ed,MACE2NEGripStrengthTyp,Military Acute Concussion Evaluation 2 (MACE2) Neurological exam - Grip Strength Type,Unique Data Element,"Type of grip strengthg the subject shows, as part of Military Acute Concussion Evaluation 2 (MACE2) neurological exam","Type of grip strengthg the subject shows, as part of Military Acute Concussion Evaluation 2 (MACE2) neurological exam",Alphanumeric,Single Pre-Defined Value Selected,,,,,Abnormal|Normal,Abnormal|Normal,,,,9. Grip Strength,9/8/2020,6/23/2021,0.038945034
ft2fly2,Fit to Fly Assessment #2,title,ft2fly2,Fit to Fly Assessment #2,f22b7a41-68d7-438a-bfb5-4b6135b23191,InitMonPlaceInd,Initial ADAPT Monitor Placement Indicator,Unique Data Element,Initial ICP monitor placement qualifying child for ADAPT enrollment indicator,Initial ICP monitor placement qualifying child for ADAPT enrollment indicator,Alphanumeric,Single Pre-Defined Value Selected,,,,,0|1|-5,No|Yes|N/A,,,,,1/18/2017,3/7/2017,0.02786662
ft2fly2,Fit to Fly Assessment #2,title,ft2fly2,Fit to Fly Assessment #2,133c1296-3daf-401c-8119-017f78a87ebe,ImgDim2ExtentVal,Imaging 2nd dimension extent value,Common Data Element,Image extent in second dimension (Y),Image extent in second dimension (Y),Numeric Values,Free-Form Entry,,,C0439534|C0205436|C0079595,Dimensions|second (number)|Imaging Techniques,,,,,,,6/5/2014,1/16/2023,0.024191706
ft2fly2,Fit to Fly Assessment #2,title,ft2fly2,Fit to Fly Assessment #2,a04e69cd-f377-4d08-a07f-0f57ccd628c2,PANESSStationStandTwoFeetScore,Physical and Neurological Examination for Subtle Signs (PANESS) - Stations Stand with Two Feet Score,Unique Data Element,"Assessment of scored errors (such as foot placement and balance issues) when completing station task of standing feet close, eyes closed, arms and fingers outstretched, as part of the Physical and Neurological Examination for Subtle Signs (PANESS).","Assessment of scored errors (such as foot placement and balance issues) when completing station task of standing feet close, eyes closed, arms and fingers outstretched, as part of the Physical and Neurological Examination for Subtle Signs (PANESS).",Alphanumeric,Single Pre-Defined Value Selected,,,,,0|1|2|CD|CR|ND,"20 seconds|19-10 seconds|Less than 10 seconds|Tried but failed (couldn't do)|Child refused.(Didn't test)|No data (did not examine, etc.)",,,,"Now I want you to stand like Frankenstein.  Put your feet next to each other, close side-by-side, and raise your arms level with shoulders like this.  Now, spread all your fingers apart, close your eyes, and stay as still as you can like this for as long as you can or until I say relax.",2/10/2016,2/14/2017,0.015584585
ft2fly2,Fit to Fly Assessment #2,title,ft2fly2,Fit to Fly Assessment #2,70be3e58-383c-4e23-add1-b82839fc61d2,A2Haploidct,Allele  2 Haploid count,Unique Data Element,Allele  2 Haploid count,Allele  2 Haploid count,Numeric Values,Free-Form Entry,0,,,,,,,,,Haploid count,7/22/2019,7/23/2019,0.013410136
ft2fly,Fit to Fly Assessment,title,ft2fly,Fit to Fly Assessment,1085738c-eb74-4ab6-bcec-696e6237c01e,AssessmentStartTime,Assessment start time,Unique Data Element,The time that the assessment or exam started,The time that the assessment or exam started,Alphanumeric,Free-Form Entry,,,,,,,,,,,2/16/2016,3/22/2016,0.20856957
ft2fly,Fit to Fly Assessment,title,ft2fly,Fit to Fly Assessment,640a3790-2693-4560-a977-513085a1e7e5,TimeOfAssessmentProcedure,Time of assessment/procedure,Unique Data Element,The time of the assessment or procedure,The time of the assessment or procedure,Alphanumeric,Free-Form Entry,,,,,,,,,,,3/10/2015,3/17/2015,0.14846867
ft2fly,Fit to Fly Assessment,title,ft2fly,Fit to Fly Assessment,51029dd2-9e2f-4a83-9007-5fc82a722bea,FADShwIntrstAchvSmthngPrsnlInd,Family Assessment Device (FAD) - Show interest achieve something personally indicator,Common Data Element,"Indicator reflecting the participant/subject's agreement with the statement that his or her family members only show interest in each other when they are able to get something out of it personally, as part of the Family Assessment Device (FAD)","Indicator reflecting the participant/subject's agreement with the statement that his or her family members only show interest in each other when they are able to get something out of it personally, as part of the Family Assessment Device (FAD)",Alphanumeric,Single Pre-Defined Value Selected,,,,,A|D|SA|SD,agree|disagree|strongly agree|strongly disagree,,,,We show interest in each other when we can get something out of it personally,4/1/2014,2/23/2016,0.10497241
ft2fly,Fit to Fly Assessment,title,ft2fly,Fit to Fly Assessment,3a7d7a17-67ab-49ad-949b-47ac3530cfbb,IMPACTTimofAssemnt,IMPACT Time of Assessment,Unique Data Element,International Mission for Prognosis and Analysis of Clinical Trials (IMPACT) in Traumatic Brian Injury (TBI) -  Time of Assessment,International Mission for Prognosis and Analysis of Clinical Trials (IMPACT) in Traumatic Brian Injury (TBI) -  Time of Assessment,Alphanumeric,Single Pre-Defined Value Selected,,,,,Admission|First Hopsital|Other|Post-stabilization|Scene of Accident,Admission|First Hopsital|Other|Post-stabilization|Scene of Accident,,,,,2/15/2016,4/14/2016,0.09624743
ft2fly,Fit to Fly Assessment,title,ft2fly,Fit to Fly Assessment,e15b8039-cd2f-401a-98c5-9b4445bab95f,FADFeelAcceptIndividualInd,Family Assessment Device (FAD) - Feel accept individual indicator,Common Data Element,"Indicator reflecting the participant/subject's agreement with the statement that his or her family members feel accepted for who they are, as part of the Family Assessment Device (FAD)","Indicator reflecting the participant/subject's agreement with the statement that his or her family members feel accepted for who they are, as part of the Family Assessment Device (FAD)",Alphanumeric,Single Pre-Defined Value Selected,,,,,A|D|SA|SD,agree|disagree|strongly agree|strongly disagree,,,,We feel accepted for what we are,4/1/2014,2/23/2016,0.08212785
ft2fly,Fit to Fly Assessment,title,ft2fly,Fit to Fly Assessment,1e912925-dcf6-4c91-9308-14adf123bfa8,FADIndividuallyAcceptInd,Family Assessment Device (FAD) - Individually accept indicator,Common Data Element,"Indicator reflecting the participant/subject's agreement with the statement that his or her family  accept each individual family member for who they are, as part of the Family Assessment Device (FAD)","Indicator reflecting the participant/subject's agreement with the statement that his or her family  accept each individual family member for who they are, as part of the Family Assessment Device (FAD)",Alphanumeric,Single Pre-Defined Value Selected,,,,,A|D|SA|SD,agree|disagree|strongly agree|strongly disagree,,,,Individuals are accepted for what they are,4/1/2014,2/23/2016,0.06829344
ft2fly,Fit to Fly Assessment,title,ft2fly,Fit to Fly Assessment,f22b7a41-68d7-438a-bfb5-4b6135b23191,InitMonPlaceInd,Initial ADAPT Monitor Placement Indicator,Unique Data Element,Initial ICP monitor placement qualifying child for ADAPT enrollment indicator,Initial ICP monitor placement qualifying child for ADAPT enrollment indicator,Alphanumeric,Single Pre-Defined Value Selected,,,,,0|1|-5,No|Yes|N/A,,,,,1/18/2017,3/7/2017,0.041562516
ft2fly,Fit to Fly Assessment,title,ft2fly,Fit to Fly Assessment,be4c3733-4711-4c62-9851-61ce8db87826,IFSArrScore,IFS Arrival Score,Unique Data Element,IFS Arrival Score,IFS Arrival Score,Alphanumeric,Free-Form Entry,,,,,,,,,,FIS Arrival Score,3/2/2021,9/7/2021,0.02143647
ft2fly,Fit to Fly Assessment,title,ft2fly,Fit to Fly Assessment,93641f14-6ab4-43f7-9c38-8647e09e5a62,VLIIGross_AdaptLvl,Gross Adapt Level,Unique Data Element,Gross Adapt Level,Gross Adapt Level,Alphanumeric,Free-Form Entry,,,,,,,,,,,12/1/2020,11/24/2021,0.014877516
ft2fly,Fit to Fly Assessment,title,ft2fly,Fit to Fly Assessment,243b3a7c-01a6-4b90-96c1-e7bdfb522eba,AirbagDplyInd,Airbag deploy indicator,Common Data Element,Indicator of an airbag deployed at the time of the participant's/subject's injury,Indicator of an airbag deployed at the time of the participant's/subject's injury,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Not applicable|Unknown|Yes,No|Not applicable|Unknown|Yes,,,,Airbag deployed indicator,,6/22/2017,0.011293813
