variable name,title,definition,permissible values,permissible value descriptions,preferred question text,query_engine,variable name_query_result,query_text_result,node_id_result,variable name_result,title_result,element type_result,definition_result,short description_result,datatype_result,input restriction_result,minimum value_result,maximum value_result,data element concept identifiers_result,data element concept names_result,permissible values_result,permissible value descriptions_result,permissible value concept identifiers_result,permissible value concept names_result,unit of measure_result,preferred question text_result,creation date_result,last change date_result,score_result
ft2fly2,Fit to Fly Assessment #2,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}",,title,ft2fly2,Fit to Fly Assessment #2,7853c5f3-0940-4ffc-a452-18a591c0e279,FADTendrnessTakeSecondPlaceInd,Family Assessment Device (FAD) - Tenderness take second place indicator,Common Data Element,"Indicator reflecting the participant/subject's agreement with the statement that his or her family takes tenderness second place to other things in the family, as part of the Family Assessment Device (FAD)","Indicator reflecting the participant/subject's agreement with the statement that his or her family takes tenderness second place to other things in the family, as part of the Family Assessment Device (FAD)",Alphanumeric,Single Pre-Defined Value Selected,,,,,A|D|SA|SD,agree|disagree|strongly agree|strongly disagree,,,,Tenderness takes second place to other things in our family,4/1/2014,2/23/2016,0.053861734
ft2fly2,Fit to Fly Assessment #2,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}",,title,ft2fly2,Fit to Fly Assessment #2,2fccfeb3-ad4f-4078-af18-f653d2c3fa51,EVARAF2Score,Evaluation of Risks - Bubble Sheet (EVAR-B) - American Factor 2,Unique Data Element,"Score of American Factor 2, self-confidence score.","Score of American Factor 2, self-confidence score.",Numeric Values,Free-Form Entry,0.556,13.889,,,,,,,,Self-Confidence,3/9/2016,2/18/2020,0.053342666
ft2fly2,Fit to Fly Assessment #2,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}",,title,ft2fly2,Fit to Fly Assessment #2,e15b8039-cd2f-401a-98c5-9b4445bab95f,FADFeelAcceptIndividualInd,Family Assessment Device (FAD) - Feel accept individual indicator,Common Data Element,"Indicator reflecting the participant/subject's agreement with the statement that his or her family members feel accepted for who they are, as part of the Family Assessment Device (FAD)","Indicator reflecting the participant/subject's agreement with the statement that his or her family members feel accepted for who they are, as part of the Family Assessment Device (FAD)",Alphanumeric,Single Pre-Defined Value Selected,,,,,A|D|SA|SD,agree|disagree|strongly agree|strongly disagree,,,,We feel accepted for what we are,4/1/2014,2/23/2016,0.0531928
ft2fly2,Fit to Fly Assessment #2,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}",,title,ft2fly2,Fit to Fly Assessment #2,fa352f81-e548-41b4-9064-f65394316713,EVARFF2Score,Evaluation of Risks - Bubble Sheet (EVAR-B) - Original French Factor 2,Unique Data Element,"Original French factor 2, danger seeking score.","Original French factor 2, danger seeking score.",Numeric Values,Free-Form Entry,1,25,,,,,,,,Danger Seeking,3/9/2016,2/18/2020,0.04919357
ft2fly2,Fit to Fly Assessment #2,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}",,title,ft2fly2,Fit to Fly Assessment #2,78c01648-4482-4197-8a9b-15e9e590d43a,ImgDim2UoMVal,Imaging 2nd dimension unit of measure value,Common Data Element,Units of measure for image extent in second dimension (Y),Units of measure for image extent in second dimension (Y),Alphanumeric,Single Pre-Defined Value Selected,,,C0079595|C1519795|C0205436/C0439534,Imaging Techniques|Unit of Measure|second (number)/Dimensions,"Angstroms|Centimeters|Hertz|Hours|Inches|Kilometers|Meters|Micrometers|Microseconds|Miles|Millimeters|Milliseconds|Minutes|Nanometers|Nanoseconds|Other, specify|Seconds","Angstroms|Centimeters|Hertz|Hours|Inches|Kilometers|Meters|Micrometers|Microseconds|Miles|Millimeters|Milliseconds|Minutes|Nanometers|Nanoseconds|Other, specify|Seconds",,,,,4/1/2014,1/16/2023,0.04261716
ft2fly2,Fit to Fly Assessment #2,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}",,title,ft2fly2,Fit to Fly Assessment #2,bc96fb95-1e50-4d48-8f34-16569358b6ed,MACE2NEGripStrengthTyp,Military Acute Concussion Evaluation 2 (MACE2) Neurological exam - Grip Strength Type,Unique Data Element,"Type of grip strengthg the subject shows, as part of Military Acute Concussion Evaluation 2 (MACE2) neurological exam","Type of grip strengthg the subject shows, as part of Military Acute Concussion Evaluation 2 (MACE2) neurological exam",Alphanumeric,Single Pre-Defined Value Selected,,,,,Abnormal|Normal,Abnormal|Normal,,,,9. Grip Strength,9/8/2020,6/23/2021,0.038945034
ft2fly2,Fit to Fly Assessment #2,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}",,title,ft2fly2,Fit to Fly Assessment #2,f22b7a41-68d7-438a-bfb5-4b6135b23191,InitMonPlaceInd,Initial ADAPT Monitor Placement Indicator,Unique Data Element,Initial ICP monitor placement qualifying child for ADAPT enrollment indicator,Initial ICP monitor placement qualifying child for ADAPT enrollment indicator,Alphanumeric,Single Pre-Defined Value Selected,,,,,0|1|-5,No|Yes|N/A,,,,,1/18/2017,3/7/2017,0.02786662
ft2fly2,Fit to Fly Assessment #2,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}",,title,ft2fly2,Fit to Fly Assessment #2,133c1296-3daf-401c-8119-017f78a87ebe,ImgDim2ExtentVal,Imaging 2nd dimension extent value,Common Data Element,Image extent in second dimension (Y),Image extent in second dimension (Y),Numeric Values,Free-Form Entry,,,C0439534|C0205436|C0079595,Dimensions|second (number)|Imaging Techniques,,,,,,,6/5/2014,1/16/2023,0.024191706
ft2fly2,Fit to Fly Assessment #2,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}",,title,ft2fly2,Fit to Fly Assessment #2,a04e69cd-f377-4d08-a07f-0f57ccd628c2,PANESSStationStandTwoFeetScore,Physical and Neurological Examination for Subtle Signs (PANESS) - Stations Stand with Two Feet Score,Unique Data Element,"Assessment of scored errors (such as foot placement and balance issues) when completing station task of standing feet close, eyes closed, arms and fingers outstretched, as part of the Physical and Neurological Examination for Subtle Signs (PANESS).","Assessment of scored errors (such as foot placement and balance issues) when completing station task of standing feet close, eyes closed, arms and fingers outstretched, as part of the Physical and Neurological Examination for Subtle Signs (PANESS).",Alphanumeric,Single Pre-Defined Value Selected,,,,,0|1|2|CD|CR|ND,"20 seconds|19-10 seconds|Less than 10 seconds|Tried but failed (couldn't do)|Child refused.(Didn't test)|No data (did not examine, etc.)",,,,"Now I want you to stand like Frankenstein.  Put your feet next to each other, close side-by-side, and raise your arms level with shoulders like this.  Now, spread all your fingers apart, close your eyes, and stay as still as you can like this for as long as you can or until I say relax.",2/10/2016,2/14/2017,0.015584585
ft2fly2,Fit to Fly Assessment #2,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}",,title,ft2fly2,Fit to Fly Assessment #2,70be3e58-383c-4e23-add1-b82839fc61d2,A2Haploidct,Allele  2 Haploid count,Unique Data Element,Allele  2 Haploid count,Allele  2 Haploid count,Numeric Values,Free-Form Entry,0,,,,,,,,,Haploid count,7/22/2019,7/23/2019,0.013410136
