variable name,title,definition,permissible values,permissible value descriptions,preferred question text,query_engine,variable name_query_result,query_text_result,node_id_result,variable name_result,title_result,element type_result,definition_result,short description_result,datatype_result,input restriction_result,minimum value_result,maximum value_result,data element concept identifiers_result,data element concept names_result,permissible values_result,permissible value descriptions_result,permissible value concept identifiers_result,permissible value concept names_result,unit of measure_result,preferred question text_result,creation date_result,last change date_result,score_result
AdmTemp,AdmTemp,Measurementof the participant's/subjects body temperature,{NULL},{NULL},,title,AdmTemp,AdmTemp,df476742-9991-4e68-817b-1f9cf4bf8dba,ImputedInd,ImputedInd,Unique Data Element,Imputed Indicator,Imputed Indicator,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,No|Yes,,,,Needs to be imputed?,7/22/2019,7/23/2019,0.11051418
AdmTemp,AdmTemp,Measurementof the participant's/subjects body temperature,{NULL},{NULL},,title,AdmTemp,AdmTemp,3aafe3ee-12f4-4f89-9ebc-d5f5da0518e9,AnteriorOvertSaccadesStatus,Anterior overt saccades status,Unique Data Element,Status of  video head impulse anterior overt saccades,Status of  video head impulse anterior overt saccades,Alphanumeric,Single Pre-Defined Value Selected,,,,,Absent|Present,Absent|Present,,,,Anterior Overt Saccades:,6/27/2016,7/1/2016,0.011037316
AdmTemp,AdmTemp,Measurementof the participant's/subjects body temperature,{NULL},{NULL},,title,AdmTemp,AdmTemp,cfc4f2db-8e35-4145-8d1e-44ca9d149302,AMNARTPronouncePrelateInd,American National Adult Reading Test (AmNART) - pronounce prelate indicator,Common Data Element,"American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""prelate"".","American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""prelate"".",Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,word pronounced incorrectly|word pronounced correctly,,,,prelate,4/1/2014,6/22/2016,0.01050775
AdmTemp,AdmTemp,Measurementof the participant's/subjects body temperature,{NULL},{NULL},,title,AdmTemp,AdmTemp,1401a943-f297-447c-b5c7-c643a12799b0,AMNARTPronounceNauseaInd,American National Adult Reading Test (AmNART) - pronounce nausea indicator,Common Data Element,"American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""nausea"".","American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""nausea"".",Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,word pronounced incorrectly|word pronounced correctly,,,,nausea,4/1/2014,6/22/2016,0.01044236
AdmTemp,AdmTemp,Measurementof the participant's/subjects body temperature,{NULL},{NULL},,title,AdmTemp,AdmTemp,49c67bf8-16d5-453d-893a-566cc74dc127,UpwardHerniationInd,Upward herniation present indicator,Unique Data Element,The subject had upward herniation present indicator,The subject had upward herniation present indicator,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,No|Yes,,,,,,6/16/2015,0.009372876
AdmTemp,AdmTemp,Measurementof the participant's/subjects body temperature,{NULL},{NULL},,title,AdmTemp,AdmTemp,0845ce5e-0200-4be2-80ef-1d22aca7ba68,FallenUnexpectInd,Fallen unexpectedly indicator,Unique Data Element,Indicator for subject unexpectedly lost his/her balance and landed on the floor or gorund or lower level within the past year,Indicator for subject unexpectedly lost his/her balance and landed on the floor or gorund or lower level within the past year,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Unknown|Yes,No|Unknown|Yes,,,,Have you fallen (including a slip or trip) in which you unexpectedly lost your balance and landed on the floor or ground or lower level within the past year?,6/27/2016,7/1/2016,0.0091917
AdmTemp,AdmTemp,Measurementof the participant's/subjects body temperature,{NULL},{NULL},,title,AdmTemp,AdmTemp,c28066c3-6b93-4afe-b9a9-898731812341,TransientIschemicAttckInd,Transient ischemic attack indicator,Unique Data Element,Indicator of whether or not the subject had a transient ischemic attack.,Indicator of whether or not the subject had a transient ischemic attack.,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Unknown|Yes,No|Unknown|Yes,,,,,9/16/2015,6/28/2016,0.007401182
AdmTemp,AdmTemp,Measurementof the participant's/subjects body temperature,{NULL},{NULL},,title,AdmTemp,AdmTemp,15ad900d-188e-47da-9b5a-4d4103b91379,AmnsType,Amnesia type,Common Data Element,Type of amnesia the subject experienced.,Type of amnesia the subject experienced.,Alphanumeric,Single Pre-Defined Value Selected,,,,,Anterograde|Both anterograde and retrograde|Dissociative amnesia|Generalized amnesia|Infantile amnesia|Localized amnesia|N/A|Retrograde|Selective amnesia|Systematized amnesia|Transient Global Amnesia (TGA)|Unknown|Wernike-Korsakoff's psychosis,Anterograde|Both anterograde and retrograde|Dissociative amnesia|Generalized amnesia|Infantile amnesia|Localized amnesia|N/A|Retrograde|Selective amnesia|Systematized amnesia|Transient Global Amnesia (TGA)|Unknown|Wernike-Korsakoff's psychosis,,,,,7/27/2015,5/14/2019,0.0055818255
AdmTemp,AdmTemp,Measurementof the participant's/subjects body temperature,{NULL},{NULL},,title,AdmTemp,AdmTemp,d9503f4d-e864-431b-8635-76dd9e244e95,RememberHappenedInd,RememberHappenedIndicator,Unique Data Element,Indicator that the participant can remember what happened,Indicator that the participant can remember what happened,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,No|Yes,,,,Does the participant remember what happened?,,2/19/2015,0.005364563
AdmTemp,AdmTemp,Measurementof the participant's/subjects body temperature,{NULL},{NULL},,title,AdmTemp,AdmTemp,34530071-5eed-4409-b262-1446b3b8d784,PstTraumtcAmnsInd,Post traumatic amnesia indicator,Common Data Element,Indicator for whether the participant/subject experienced any period of post-traumatic amnesia - both retrograde and anterograde,Indicator for whether the participant/subject experienced any period of post-traumatic amnesia - both retrograde and anterograde,Alphanumeric,Single Pre-Defined Value Selected,,,C0002623,Post-traumatic amnesia,No|Suspected|Unknown|Yes,No|Suspected|Unknown|Yes,,,,Did participant/subject experience post-traumatic amnesia?,,8/24/2023,0.0053353193
