variable name,title,query_engine,variable name_query_result,query_text_result,node_id_result,variable name_result,title_result,element type_result,definition_result,short description_result,datatype_result,input restriction_result,minimum value_result,maximum value_result,data element concept identifiers_result,data element concept names_result,permissible values_result,permissible value descriptions_result,permissible value concept identifiers_result,permissible value concept names_result,unit of measure_result,preferred question text_result,creation date_result,last change date_result,score_result
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,b301bb50-92a7-419c-9d43-4e987c8e25a6,VLIIRecep_SorW,Receptive SorW,Unique Data Element,Receptive SorW,Receptive SorW,Alphanumeric,Free-Form Entry,,,,,,,,,,,12/1/2020,11/24/2021,0.06529305
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,116831cb-7f80-45cb-8d56-2c7a92f54f3c,VLIIRecep_AgeEquiv,Receptive Age Equiv,Unique Data Element,Receptive Age Equiv,Receptive Age Equiv,Alphanumeric,Free-Form Entry,,,,,,,,,,,12/1/2020,11/24/2021,0.011990494
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,5d2c38a6-6521-49f3-b3af-404f1da26843,AMNARTPronounceBlatantInd,American National Adult Reading Test (AmNART) - pronounce blatant indicator,Common Data Element,"American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""blatant"".","American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""blatant"".",Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,word pronounced incorrectly|word pronounced correctly,,,,blatant,4/1/2014,6/22/2016,0.011206428
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,696be673-3889-4a47-90a1-205d8a24d5c8,ConsentAttemptTime,Time of consent attempt,Unique Data Element,Time of consent attempt,Time of consent attempt,Alphanumeric,Free-Form Entry,,,,,,,,,,Time of consent attempt,,3/16/2015,0.010473014
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,f8d95806-b5c4-4831-a7ac-87931da12c4e,TransientIschemicAttckInd,Transient ischemic attack indicator,Unique Data Element,Indicator of whether or not the subject had a transient ischemic attack.,Indicator of whether or not the subject had a transient ischemic attack.,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Unknown|Yes,No|Unknown|Yes,,,,,9/16/2015,6/28/2016,0.0074011963
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,2868c86c-9e83-45f0-b83a-80306639fec3,FocalSwellTempRtInd,Focal swelling temporal right indicator,Unique Data Element,The subject had focal swelling temporal right indicator,The subject had focal swelling temporal right indicator,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,No|Yes,,,,,,6/16/2015,0.00563472
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,8303b8bf-f5e3-4c86-8936-db22f888c7a4,AmnsType,Amnesia type,Common Data Element,Type of amnesia the subject experienced.,Type of amnesia the subject experienced.,Alphanumeric,Single Pre-Defined Value Selected,,,,,Anterograde|Both anterograde and retrograde|Dissociative amnesia|Generalized amnesia|Infantile amnesia|Localized amnesia|N/A|Retrograde|Selective amnesia|Systematized amnesia|Transient Global Amnesia (TGA)|Unknown|Wernike-Korsakoff's psychosis,Anterograde|Both anterograde and retrograde|Dissociative amnesia|Generalized amnesia|Infantile amnesia|Localized amnesia|N/A|Retrograde|Selective amnesia|Systematized amnesia|Transient Global Amnesia (TGA)|Unknown|Wernike-Korsakoff's psychosis,,,,,7/27/2015,5/14/2019,0.0055818227
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,39fbca61-1425-4698-b165-982bf60124a7,RememberHappenedInd,RememberHappenedIndicator,Unique Data Element,Indicator that the participant can remember what happened,Indicator that the participant can remember what happened,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,No|Yes,,,,Does the participant remember what happened?,,2/19/2015,0.00536456
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,164fd65c-6f68-4d1d-a931-6fdc5b82bae2,PstTraumAmnsDurationVal,Post traumatic amnesia duration of time value,Common Data Element,Duration (in minutes)  of post-traumatic amnesia- both retrograde and anterograde - the participant/subject experienced.,Duration (in minutes)  of post-traumatic amnesia- both retrograde and anterograde - the participant/subject experienced.,Numeric Values,Free-Form Entry,0,,,,,,,,,Duration of post-traumatic amnesia (PTA) the participant/subject experienced.,3/31/2016,3/3/2020,0.0053444244
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,46d83b77-90ad-454d-b2db-c1d544e8c80e,PstTraumtcAmnsInd,Post traumatic amnesia indicator,Common Data Element,Indicator for whether the participant/subject experienced any period of post-traumatic amnesia - both retrograde and anterograde,Indicator for whether the participant/subject experienced any period of post-traumatic amnesia - both retrograde and anterograde,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Suspected|Unknown|Yes,No|Suspected|Unknown|Yes,,,,Did participant/subject experience post-traumatic amnesia?,,7/10/2023,0.0053353147
